user_id,ad_id,impression_ts,click_ts,purchase_value
11,3,2025-12-01 16:05:00,,
79,2,2025-12-01 07:59:00,,
41,2,2025-12-01 09:57:00,2025-12-01 10:39:00,200.0
125,2,2025-12-01 11:39:00,2025-12-01 12:12:00,
20,5,2025-12-01 11:08:00,,
7,5,2025-12-01 10:23:00,,
85,5,2025-12-01 12:21:00,2025-12-01 12:49:00,-10.0
143,999,2025-12-01 15:18:00,2025-12-01 15:15:00,200.0
76,3,2025-12-01 14:05:00,2025-12-01 15:04:00,50.0
68,5,2025-12-01 09:06:00,,
122,5,2025-12-01 08:14:00,,
107,3,2025-12-01 15:39:00,2025-12-01 16:07:00,200.0
148,4,2025-12-01 11:08:00,,
173,4,2025-12-01 13:14:00,,
68,2,2025-12-01 14:32:00,,
117,1,2025-12-01 11:29:00,,
180,4,2025-12-01 08:12:00,,
104,999,2025-12-01 09:49:00,,
2,1,2025-12-01 08:00:00,,
180,999,2025-12-01 08:13:00,2025-12-01 08:34:00,100.0
144,3,2025-12-01 10:46:00,,
107,4,2025-12-01 15:03:00,,
118,5,2025-12-01 09:07:00,,
21,1,2025-12-01 15:17:00,,
157,999,2025-12-01 13:28:00,,
2,2,2025-12-01 14:12:00,2025-12-01 14:45:00,100.0
31,2,2025-12-01 10:50:00,2025-12-01 11:50:00,20.0
161,5,2025-12-01 10:22:00,,
180,4,2025-12-01 11:38:00,,
156,5,2025-12-01 08:57:00,2025-12-01 09:26:00,0.0
146,3,2025-12-01 14:29:00,,
94,2,2025-12-01 13:19:00,,
3,1,2025-12-01 08:17:00,,
176,5,2025-12-01 09:03:00,,
21,5,2025-12-01 07:40:00,,
167,2,2025-12-01 15:27:00,2025-12-01 15:59:00,
164,1,2025-12-01 07:25:00,2025-12-01 07:32:00,-10.0
139,4,2025-12-01 09:38:00,,
141,1,2025-12-01 14:45:00,2025-12-01 14:49:00,100.0
59,2,2025-12-01 07:24:00,,
49,1,2025-12-01 11:07:00,,
38,4,,,
55,4,2025-12-01 08:00:00,2025-12-01 08:39:00,
86,5,2025-12-01 16:16:00,,
137,2,2025-12-01 09:11:00,,
28,2,2025-12-01 10:16:00,,
33,4,2025-12-01 08:57:00,2025-12-01 09:19:00,20.0
128,999,2025-12-01 14:32:00,2025-12-01 15:32:00,50.0
113,999,2025-12-01 15:16:00,,
136,1,2025-12-01 12:31:00,2025-12-01 13:07:00,
130,1,2025-12-01 12:05:00,,
59,5,2025-12-01 13:00:00,2025-12-01 13:22:00,-10.0
155,3,2025-12-01 07:26:00,,
78,3,2025-12-01 10:35:00,,
26,1,2025-12-01 13:52:00,,
40,1,2025-12-01 15:00:00,2025-12-01 15:40:00,
16,999,2025-12-01 12:21:00,,
61,3,2025-12-01 12:43:00,,
132,1,2025-12-01 16:15:00,2025-12-01 17:11:00,
4,1,2025-12-01 11:02:00,,
157,999,2025-12-01 08:41:00,2025-12-01 08:58:00,0.0
108,2,2025-12-01 14:39:00,,
108,3,2025-12-01 08:23:00,,
19,1,2025-12-01 14:49:00,,
147,3,2025-12-01 15:00:00,2025-12-01 14:56:00,
124,1,2025-12-01 11:02:00,,
89,5,2025-12-01 12:06:00,,
169,999,2025-12-01 09:20:00,,
48,1,2025-12-01 08:09:00,2025-12-01 08:14:00,200.0
158,5,2025-12-01 12:08:00,,
85,1,2025-12-01 15:46:00,,
142,3,2025-12-01 13:10:00,,
80,5,2025-12-01 13:24:00,,
157,999,2025-12-01 15:36:00,,
131,4,2025-12-01 09:53:00,2025-12-01 10:25:00,
66,999,2025-12-01 07:09:00,,
76,999,,,
32,4,2025-12-01 09:16:00,,
12,999,2025-12-01 10:53:00,,
15,2,2025-12-01 07:32:00,,
68,5,2025-12-01 15:20:00,,
59,999,2025-12-01 08:32:00,2025-12-01 08:34:00,-10.0
76,2,2025-12-01 13:09:00,2025-12-01 14:07:00,0.0
36,5,2025-12-01 15:25:00,2025-12-01 15:29:00,20.0
174,5,2025-12-01 12:39:00,2025-12-01 13:02:00,50.0
175,2,2025-12-01 15:29:00,2025-12-01 16:18:00,100.0
123,1,2025-12-01 08:06:00,2025-12-01 08:02:00,
113,1,2025-12-01 15:58:00,2025-12-01 16:06:00,-10.0
13,5,2025-12-01 15:28:00,,
39,5,2025-12-01 07:36:00,,
26,1,2025-12-01 16:10:00,2025-12-01 16:44:00,20.0
167,1,2025-12-01 07:31:00,2025-12-01 07:23:00,20.0
64,5,2025-12-01 07:40:00,,
127,1,2025-12-01 08:39:00,,
142,2,2025-12-01 11:38:00,2025-12-01 12:11:00,-10.0
129,5,2025-12-01 09:41:00,,
133,4,2025-12-01 07:51:00,,
69,999,2025-12-01 12:48:00,,
77,999,2025-12-01 08:46:00,2025-12-01 08:50:00,-10.0
99,2,2025-12-01 15:40:00,2025-12-01 15:38:00,
173,3,2025-12-01 13:30:00,,
177,2,2025-12-01 10:16:00,,
49,1,2025-12-01 08:39:00,,
156,2,2025-12-01 09:42:00,2025-12-01 10:24:00,
28,999,2025-12-01 10:59:00,,
140,1,,,
34,999,2025-12-01 12:07:00,,
69,5,2025-12-01 07:41:00,2025-12-01 08:37:00,50.0
151,5,2025-12-01 11:49:00,,
24,4,2025-12-01 12:56:00,2025-12-01 12:59:00,50.0
170,1,2025-12-01 08:25:00,2025-12-01 09:14:00,50.0
108,5,2025-12-01 16:19:00,,
118,999,2025-12-01 09:36:00,,
28,4,2025-12-01 10:44:00,,
112,5,2025-12-01 15:43:00,,
84,2,2025-12-01 15:19:00,,
126,5,2025-12-01 13:57:00,2025-12-01 14:34:00,100.0
3,999,2025-12-01 08:57:00,,
136,5,2025-12-01 11:39:00,2025-12-01 12:30:00,50.0
72,1,2025-12-01 11:45:00,,
14,3,2025-12-01 10:49:00,,
17,2,2025-12-01 12:22:00,,
115,2,2025-12-01 15:06:00,,
65,4,2025-12-01 12:09:00,,
160,5,2025-12-01 07:27:00,,
